Short-data encryption tester v.1.04 22.06.2023 12:15
Huffman binary tree prepared, no of elements = 1403, root = 1402
Absolute: min. level=9, max. level=18, av. level=10
Weighted: min. level=4.50, max. level=18.00, av. level=5.56 compression=70%
All-zero element: 826 '@8' of level 9 and weight=5
Processing items...
No of items = 25000, digits before decimal point = -10, digits after decimal point = -7
No; String; Length[B]; String_noised; Length[B]; String_encoded_bin; String_encoded_hex; Length[B]; Add_noise_time[us]; Encryption_time[us]; Decryption_time[us]; Remove_noise_time[us]; Total_time[us]
0; 390; 3; =390; 4; 101111100110010001110000; EB4607; 3; 3; 135; 156; 2; 296
1; 2.3583; 6; (!2.3583; 8; 011111000101111110101001101111011110010000000000; C7F59ADB4E00; 6; 4; 366; 389; 5; 764
2; 2803924.91; 10; #_2803*924.91; 13; 111000001011110111110111110101000100001001000110000110001001010000000000; 0EDB7F4D2464814900; 9; 7; 599; 629; 7; 1242
3; 93.10661; 8; &93.10$661; 10; 01110011010101011001011100011111010111110101111110000000; 375579F1F5F508; 7; 5; 516; 540; 5; 1066
4; 3590.7; 6; %359^0.7; 8; 1001110100110101111100111101000100001010; D9533F1DA0; 5; 5; 299; 309; 4; 617
5; 862230995.5; 11; ~86%@2230995.5; 14; 001011110100111011100110100111000010110110010101010001011011011100100000; F2E46EC9D259547B02; 9; 8; 632; 658; 7; 1305
6; 735769.425; 10; ^7%35769.4=25; 13; 101111111010011101001101111111111000110101110001111101111000110110010010; FB7AD4FFD8177FD829; 9; 7; 458; 472; 7; 944
7; 817268.210081; 13; =8^17268.(2100*81; 17; 1100111000111100010011110010011000000010010010001010011110011101100010010100010100000000; ECC3F46220847AD9985400; 11; 10; 783; 813; 9; 1615
8; 7739500.3; 9; #77395*00%.3; 12; 1000110111001000111101000101110100000001010100111110001011010000; D88C4FD510352E0D; 8; 6; 273; 295; 6; 580
9; 3637838; 7; )3_637838; 9; 01111101100100101000111111000011110010001100101100000000; D729F83C8CBC00; 7; 5; 406; 429; 5; 845
10; 4.709783; 8; &4.70@9783; 10; 111001111010000101000011111110111010011110010000; 7E1A34BF7A09; 6; 5; 474; 486; 5; 970
11; 67.2050; 7; *67.$2050; 9; 110010100000001000001010000111001110001001100000; AC20A0C12E06; 6; 4; 404; 418; 5; 831
12; 1186905.5; 9; $1186905&).5; 12; 0011111100100001111000110101011100111000001111100110111001000000; F3123E7583E3E604; 8; 7; 512; 537; 6; 1062
13; 8.396; 5; ~8.396; 6; 00101111010001011010101100100000; F254BA02; 4; 3; 143; 155; 4; 305
14; 84.5035; 7; @84.&5035; 9; 000000000110101010110001000101111101011001001000; 00A61B716D84; 6; 5; 569; 583; 5; 1162
15; 53401643.079; 12; %5@3_401~643.079; 16; 01011010011011110110101100111100001011010100101100001100000100000101000010110010; A5F6B6C3D2B4C001052B; 10; 10; 695; 714; 8; 1427
16; 822533.37576; 12; @82=2533.3~757=6; 16; 00000000110010110100010001110111010110001011011001100111011111111101110000000000; 00BC4477856B76F7CD00; 10; 9; 824; 854; 8; 1695
17; 110046.97; 9; _1=10046.9%7; 12; 01101100111110101000011101100100111010001100011101000010; C6AF78468E7C24; 7; 7; 688; 702; 7; 1404
18; 87.7307; 7; #87(.7307; 9; 10001100001111111000100001011001001011010010000000000000; C8F38895D20200; 7; 4; 283; 296; 5; 588
19; 6038407; 7; !6@038407; 9; 10111001110011011000010100111010000110010010000000000000; 9BDC58A3910200; 7; 5; 400; 413; 5; 823
20; 381191272.451; 13; *_3*8#1191272.451; 17; 1101001101010010111011010111010010000110110011110110100101011111101011110011000010100000; 3D25DE4768FC96F5FA030A; 11; 10; 945; 967; 8; 1930
21; 2597; 4; #2597; 5; 1000101001110101111100100100000000000000; A8572F0400; 5; 3; 133; 144; 3; 283
22; 20861.77; 8; @20=861.77; 10; 100110100101101001110101111111101011010001001010; A9A557EF4BA4; 6; 5; 511; 523; 5; 1044
23; 4.13; 4; =4.13; 5; 10101101010001011010011011000100; DA546A4C; 4; 3; 146; 155; 3; 307
24; 5.39; 4; )5.39; 5; 11111000010001011011000101010000; 8F541B05; 4; 3; 225; 234; 3; 465
25; 4.4359; 6; #4.435)9; 8; 1010110111100011111001101111101000100000; DA3E6EAF02; 5; 4; 327; 338; 5; 674
26; 959.9843; 8; &959.984*3; 10; 011100110101010111110000110001001011000010100001; 37550F4C0B1A; 6; 5; 401; 411; 6; 823
27; 11.22231; 8; _11.2!2231; 10; 011011001111010110111100000011110110110001000000; C65FCBF0C604; 6; 5; 665; 677; 6; 1353
28; 335.696; 7; )33@5.696; 9; 01111101101001001111001001001010001101010100100100000000; D74A2FA4539400; 7; 5; 456; 480; 5; 946
29; 1685.4490; 9; *&1685.449^0; 12; 1110101011010011101000101001110001111101010000010111101000000000; AE3D2AC9D714A700; 8; 7; 530; 557; 6; 1100
30; 484382478.610; 13; ~4843=824@7^8.610; 17; 1000111001001011000000000101011010101010111100010100010100001010101010111111010011000000; E8B40065AA1F54A0BA4F0C; 11; 11; 778; 805; 8; 1602
31; 766020.4511; 11; )7660~20.45#11; 14; 011101011010000001110001010101011111101111000111110001001111001000011000; 570A1755BF7C4C2F81; 9; 8; 709; 731; 7; 1455
32; 95977677; 8; #95!977677; 10; 000000011010001111110111010101111011110001001010; 103A7F75CBA4; 6; 5; 359; 371; 5; 740
33; 1.62; 4; =1.62; 5; 11101010000010111111011011000000; AEB06F0C; 4; 2; 279; 291; 3; 575
34; 964577.58302; 12; !9645$77.5(830&2; 16; 10000001001100001110110010010100001001010110111001000100000100100101101111000111; 1803CE4952E64421B57C; 10; 10; 581; 598; 8; 1197
35; 6.15062; 7; _%6.15062; 9; 111101000100010101111100110100001011110110110000; 4F54C70DDB0B; 6; 5; 621; 636; 5; 1267
36; 63321387.1; 10; #63##321387.1; 13; 1111100101111111101000111000101001111001010011000001000010100000; 9FF73AA897C4010A; 8; 7; 678; 694; 7; 1386
37; 128627324.605584; 16; %1286~2=73#24.60_5584; 21; 1001000100111101111111011111110010110100100011110001010011011010101010111111110011100111110010101111111010100000; 19D3DFCF4BF841ADBACF7EACEF0A; 14; 13; 1112; 1151; 11; 2287
38; 5417.8599; 9; !$5417.^8599; 12; 1110100000101001101001000110101101010110001010010111100001000000; 8E924AB665928704; 8; 7; 463; 489; 6; 965
39; 18269.26171; 11; #18269@.26#171; 14; 000011100101101010101000110101010100000000011011100001110001001101010000; E0A58A5D04B1783105; 9; 7; 558; 582; 7; 1154
40; 58079817.6; 10; $^5807#9817.6; 13; 0110110110010101110111011011000000011011011101000001000100100100; D659DD0BB1471142; 8; 7; 671; 687; 7; 1372
41; 280042; 6; _2800*42; 8; 0111100000011110101101110110100000111100; 87E17B86C3; 5; 5; 413; 422; 5; 845
42; 2877840.399; 11; *2877840^.)399; 14; 001001101101110010011101100010100001101001011110111110110011110000100000; 62CDD9A8A1E5BFC302; 9; 7; 569; 596; 8; 1180
43; 531.4; 5; &531.4; 6; 11000100010001000001100011111000; 4C44818F; 4; 3; 228; 238; 4; 473
44; 9684; 4; ^9684; 5; 01111111011000000011111010100000; F706E30A; 4; 3; 266; 277; 3; 549
45; 857659038.292; 13; $8_5765%9038.29^2; 17; 0100100010111001111110111101111011010001100100011100101001110101001100001101001101101100; 849BBFED1D19AC57033DC6; 11; 10; 670; 692; 8; 1380
46; 1517228.1546; 12; !&1517228.15&#46; 16; 01101111111111001101100100011011110110100010101011100110101000111101001110100000; F6CF9DB1ADA26E3A3D0A; 10; 9; 949; 979; 8; 1945
47; 5957733.835599; 14; &5_95^7733.8^35599; 18; 1100010001101000110011011010001001011011101010110010110011011000001010010101111000010000; 4C86DC2AB5BAC28D92E501; 11; 10; 806; 837; 9; 1662
48; 7023; 4; $7023; 5; 01110101010110111010110110001000; 57B5DA88; 4; 3; 255; 265; 3; 526
49; 40492.070753; 12; !40&!492.0=70753; 16; 00111101011101110000111101010001001011000001010010100001001110110111000101110000; D377F015C2411AB31707; 10; 10; 612; 634; 9; 1265
50; 78786; 5; =78786; 6; 10100001010111001000101111110000; 1AC5B80F; 4; 2; 292; 303; 4; 601
51; 654355.9939; 11; _!654355.=9939; 14; 110001101110110111100011000000101001010110000100111100001011101110000000; 6CDE3E2059480FBB08; 9; 8; 700; 730; 8; 1446
52; 6894506.40092; 13; $6%8)94506^.40092; 17; 1101011111001011010010100010001110011000000101110010111110100001100110010101101101100000; 7DBCA4328971F21A99B506; 11; 10; 1092; 1122; 8; 2232
53; 9812163.940225; 14; !~9812163.9!4022)5; 18; 0101110001110001011010110011010100111011010110010100010011101000011011110110111111000000; C517B653B395448EF6F60C; 11; 11; 1006; 1031; 10; 2058
54; 2303971.9559; 12; ~2303971.=9_55%9; 16; 00010110110010010110111011100100110101011000010100100100001010010110000111000000; 619CE64E5D584292160C; 10; 10; 617; 642; 9; 1278
55; 4783.64367; 10; _4783@.6_4367; 13; 10101100111111011000100100111000101111101011001110111001111001001000000000000000; CADF9883EB3B9B4E0800; 10; 7; 486; 510; 7; 1010
56; 79.393; 6; (79.39=3; 8; 1110010010110010000011101110101111100100; 4E2BE0BE4E; 5; 4; 391; 402; 5; 802
57; 897; 3; )897; 4; 011010100110111010000000; A6E608; 3; 2; 247; 257; 3; 509
58; 389; 3; )389; 4; 011111011011111000100000; D7EB02; 3; 3; 248; 257; 3; 511
59; 3238055.799; 11; (32380=5(5.799; 14; 010000001110000101101111010110101001110010110000110100001010111100001000; 041EF6A5C90B0DFA80; 9; 7; 617; 639; 7; 1270
60; 23219068.3771; 13; =232$1906%8.*3771; 17; 0111100011001110010100001111110100100011110011101100010101001010000100010010100101000000; 87EC05DF32EC5CA4119204; 11; 11; 657; 682; 9; 1359
61; 970.845177; 10; _$970.8^45177; 13; 10000111110110111010010101011011101101011100110010010001100100100000000000000000; 78BD5AB55BCC19290000; 10; 7; 691; 720; 6; 1424
62; 508495.3; 8; ^(508495.3; 10; 001100101011000110000101100010100010111000101101; 231B58A8E2D2; 6; 5; 341; 351; 6; 703
63; 9.136831; 8; !9.#136831; 10; 100000010011100001101101001001000000011000100000; 1883D6426002; 6; 4; 438; 447; 6; 895
64; 5.8143; 6; !!5.8143; 8; 1010000001100100100101011011101001100000; 0A4659AB06; 5; 4; 321; 329; 5; 659
65; 4517755.284148; 14; %4@(517755.284@148; 18; 0111101010010110000100011111100010010101010010110101001100010110001111111110001000010000; A769118F59B43561F32E01; 11; 10; 960; 990; 9; 1969
66; 469033832.59; 12; %469!)033832@.59; 16; 01111010101000110101110110100101111101000101001101110010100010100000010101111100; A73AD55A4F3527A850C7; 10; 9; 717; 736; 8; 1470
67; 7; 1; *7; 2; 1001111011000000; E90C; 2; 2; 30; 37; 2; 71
68; 9180653; 7; %91806^53; 9; 100001110000100001110000101100011001101101100010; 7880071BB926; 6; 5; 420; 432; 5; 862
69; 81.38; 5; ~81.38; 6; 00101111011010110100101001100000; F2B6A406; 4; 2; 287; 299; 4; 592
70; 4025922.21; 10; ~4025^92)2.21; 13; 100011100101101110100110110110001001011111110111010100110001010000000000; E8B56A8D797F354100; 9; 7; 632; 661; 7; 1307
71; 176627144.672; 13; )176)627144.!67#2; 17; 100000000101111011110110100100101101001011100010010110101010101110011110110011001110110110000000; 08E56F292D2EA5BAE9CCDE08; 12; 10; 821; 860; 8; 1699
72; 7.83; 4; !7.83; 5; 01000001001100101100110110001000; 1423DC88; 4; 2; 123; 133; 3; 261
73; 5.3; 3; =5.3; 4; 010100111001000101101000; 351986; 3; 3; 83; 91; 2; 179
